,Player,Agents,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
776,rhz VKS,,363,0.92,178.7,0.9,71%,117.5,0.63,0.3,0.05,0.05,25%,16%,7/44,18,230,256,110,17,18
777,Nhatthong2k VIE,,472,0.92,213.3,0.94,69%,142.7,0.73,0.19,0.17,0.17,23%,18%,6/34,27,345,368,88,81,81
778,izzengi AGL,(+1),248,0.92,185.0,0.93,71%,123.3,0.62,0.28,0.06,0.06,16%,11%,4/35,20,154,166,70,15,16
779,kyrrz KPI,(+3),334,0.92,165.8,0.85,70%,108.8,0.6,0.32,0.08,0.08,28%,15%,6/39,22,200,234,108,28,26
780,blu BD.FE,(+2),298,0.92,187.3,0.86,69%,125.0,0.64,0.44,0.09,0.1,24%,10%,3/29,22,190,222,132,26,29
781,mizi BD.FE,(+2),298,0.92,178.3,0.92,72%,117.4,0.63,0.37,0.06,0.07,23%,13%,7/52,22,189,205,111,18,20
782,monk,,528,0.92,187.0,0.92,66%,124.0,0.66,0.19,0.08,0.1,22%,17%,11/64,28,348,380,102,43,51
783,saadhak LOUD,(+2),440,0.91,184.6,0.82,73%,123.3,0.58,0.37,0.09,0.16,22%,16%,5/31,20,255,312,163,39,69
784,jonba KPI,(+2),334,0.91,183.5,0.87,69%,120.6,0.62,0.24,0.07,0.08,30%,15%,6/40,22,208,239,81,25,27
785,ind1n puGG,,270,0.91,203.7,0.91,64%,129.3,0.71,0.11,0.21,0.19,28%,10%,2/20,19,192,211,30,58,51
786,Louda OXR,,237,0.91,200.9,0.89,68%,128.4,0.67,0.16,0.2,0.16,22%,10%,3/29,18,159,178,37,47,39
787,ligasa INF,,330,0.91,194.8,0.97,68%,129.5,0.72,0.14,0.16,0.13,25%,14%,4/28,24,238,245,45,54,43
788,kay RIOS,,328,0.91,217.2,0.92,65%,142.9,0.74,0.17,0.23,0.23,26%,8%,2/25,22,243,263,55,76,77
789,rain EG.GC,,328,0.91,182.6,0.87,69%,121.8,0.64,0.37,0.06,0.06,27%,11%,5/46,18,209,240,120,19,21
790,zekei 1337,,208,0.91,212.0,1.04,65%,141.6,0.76,0.15,0.2,0.24,25%,22%,2/9,28,158,152,32,41,50
791,nabbsky RRQ.K,,315,0.91,189.0,0.99,68%,130.6,0.69,0.18,0.07,0.06,19%,8%,4/50,27,216,219,57,21,20
792,Hitch TBD,,238,0.91,196.1,0.9,70%,133.5,0.67,0.31,0.05,0.08,18%,3%,1/30,22,159,177,73,13,20
793,quantumrino ECO,(+3),439,0.91,195.4,0.9,66%,129.9,0.68,0.18,0.12,0.14,26%,15%,6/41,24,299,331,79,54,62
794,JustnatioNN Unde,(+1),305,0.91,186.7,0.86,72%,123.5,0.64,0.37,0.08,0.1,24%,4%,1/27,23,196,229,112,24,31
795,sw ODK,(+1),240,0.91,181.0,0.81,73%,118.8,0.59,0.42,0.07,0.12,24%,7%,2/28,20,141,174,100,16,28
796,Richy BBC,(+1),307,0.91,210.6,0.9,67%,140.2,0.7,0.22,0.17,0.16,20%,,0/17,23,216,241,68,52,49
797,Lyy iNv,,236,0.91,217.0,0.96,67%,137.7,0.75,0.14,0.18,0.18,30%,6%,1/16,27,177,185,33,43,42
798,summertime NOOT,(+2),253,0.91,213.1,0.87,70%,144.4,0.7,0.31,0.14,0.17,24%,26%,5/19,28,177,204,79,36,42
799,dicey FaZe,,255,0.91,174.9,0.9,70%,116.6,0.63,0.17,0.09,0.07,22%,14%,4/28,25,161,178,44,23,19
800,RIZKYMD ONIC,(+1),215,0.91,186.9,0.89,71%,119.4,0.65,0.32,0.07,0.11,21%,10%,2/21,24,139,156,68,14,24
801,Waffle FIU,(+3),424,0.9,184.7,0.84,74%,123.9,0.61,0.35,0.05,0.08,20%,6%,3/48,22,259,307,149,23,32
802,Nurfed OXGA,(+1),327,0.9,160.5,0.8,73%,109.0,0.55,0.39,0.06,0.1,20%,21%,9/43,19,179,223,128,18,34
803,TvirusLuke DRG,,458,0.9,213.0,0.91,70%,140.9,0.73,0.17,0.22,0.22,31%,17%,4/23,28,336,368,80,99,100
804,Chrysania X10,(+2),287,0.9,167.3,0.81,69%,114.1,0.59,0.39,0.07,0.1,21%,29%,11/38,25,168,208,112,21,30
805,benjyfishy EP,,293,0.9,198.9,0.9,68%,133.9,0.69,0.17,0.1,0.14,30%,13%,4/31,25,203,225,49,29,41
806,Ayzee Bloo,(+3),467,0.9,206.6,0.91,63%,136.2,0.72,0.17,0.12,0.15,25%,11%,8/70,19,334,367,81,57,68
807,Zamal,,204,0.9,213.6,0.92,65%,144.1,0.75,0.13,0.2,0.19,35%,17%,2/12,28,152,165,27,41,39
808,XXiF DSG,(+3),256,0.9,185.9,0.91,66%,129.4,0.64,0.29,0.05,0.1,23%,10%,4/39,20,164,181,74,13,25
809,PoPiFresH TQ,,211,0.9,178.0,0.95,73%,116.3,0.63,0.14,0.07,0.08,24%,,0/14,20,133,140,29,15,17
810,Katu ANM,(+6),330,0.9,189.6,0.93,69%,127.5,0.69,0.26,0.1,0.11,35%,18%,4/22,23,227,244,85,33,37
811,ryotzz TBK,(+1),238,0.9,173.0,0.79,71%,112.1,0.58,0.45,0.07,0.13,15%,4%,1/26,21,137,173,107,17,30
812,Freyy TBD,,238,0.9,183.1,0.85,71%,114.5,0.63,0.33,0.12,0.08,28%,23%,7/31,19,151,177,78,28,20
813,Chadi GN,,267,0.9,214.4,1.05,66%,139.6,0.81,0.12,0.21,0.21,30%,29%,6/21,32,215,204,33,57,56
814,LKSHOW SH,(+2),270,0.9,181.1,0.81,70%,117.2,0.6,0.39,0.08,0.08,24%,9%,3/35,24,161,199,104,22,22
815,A1mly NASR,,359,0.9,183.8,0.9,68%,128.9,0.64,0.21,0.07,0.09,28%,22%,10/46,24,231,256,76,25,34
816,tayhuhu LOUD,(+2),313,0.9,153.1,0.8,72%,102.4,0.52,0.36,0.02,0.05,20%,13%,8/60,21,163,203,112,7,15
817,jeyj7y FF,(+2),504,0.9,167.1,0.81,72%,111.9,0.56,0.33,0.07,0.1,25%,14%,7/50,25,281,345,165,36,52
818,Quick FUR,(+1),231,0.9,177.3,0.9,65%,120.2,0.63,0.2,0.08,0.1,27%,20%,5/25,19,145,162,47,19,22
819,Dev0 eM,,201,0.9,208.2,0.92,66%,130.2,0.75,0.14,0.22,0.18,24%,18%,3/17,23,151,164,28,44,36
820,gbz FAKE,(+3),227,0.9,172.9,0.83,69%,117.6,0.59,0.33,0.06,0.07,24%,13%,4/31,19,135,163,75,13,16
821,Beast2HyPe,(+2),261,0.9,194.8,0.9,68%,130.7,0.68,0.25,0.07,0.12,19%,24%,8/33,22,177,197,66,18,31
822,Sacake VLNT,,222,0.9,162.6,0.72,69%,107.8,0.52,0.48,0.05,0.08,20%,23%,7/31,24,115,160,106,11,17
823,BRNWOWZK1 SH,,224,0.9,205.1,0.92,74%,142.8,0.7,0.23,0.12,0.16,20%,3%,1/31,24,157,171,52,26,36
824,Shazeon CGN,(+1),324,0.9,166.7,0.81,69%,113.6,0.57,0.31,0.06,0.06,25%,17%,6/36,28,185,228,100,19,18
825,looM HMB,(+3),298,0.9,154.2,0.79,71%,100.6,0.54,0.41,0.03,0.08,22%,16%,10/61,28,161,203,122,9,23
826,JessieVash TS,,209,0.9,190.1,0.85,70%,124.3,0.64,0.31,0.08,0.07,30%,13%,3/23,20,133,156,64,17,15
827,Jremy TS,(+1),209,0.9,219.4,0.94,68%,140.4,0.74,0.22,0.17,0.17,18%,38%,5/13,22,155,165,47,36,35
828,francez UNP,(+1),233,0.9,173.2,0.82,70%,109.0,0.58,0.42,0.07,0.06,25%,26%,7/27,20,136,165,98,16,13
829,Juu 3T,(+1),301,0.89,179.6,0.85,64%,119.6,0.59,0.17,0.07,0.09,17%,15%,7/46,26,179,210,50,21,26
830,boga,,261,0.89,218.2,0.96,64%,145.9,0.76,0.14,0.24,0.18,33%,22%,4/18,25,199,208,36,63,47
831,Daniops MIBR.F,,244,0.89,180.3,0.87,71%,123.7,0.61,0.23,0.06,0.06,22%,10%,3/31,20,149,172,55,14,14
832,tsalad,(+1),310,0.89,158.5,0.74,72%,101.7,0.53,0.4,0.06,0.05,23%,31%,9/29,20,165,224,125,19,17
833,glym SH,(+3),299,0.89,203.9,0.92,67%,131.5,0.7,0.29,0.11,0.15,20%,4%,1/27,34,209,228,88,33,45
834,Mast3r RGE,(+2),285,0.89,166.6,0.78,69%,111.3,0.55,0.39,0.05,0.08,28%,6%,2/32,26,158,203,112,14,23
835,heyNF,(+5),320,0.89,175.9,0.86,69%,121.5,0.62,0.28,0.06,0.08,28%,14%,6/44,27,199,231,90,20,25
836,DiMAS OIP,,233,0.89,193.9,0.92,70%,136.6,0.67,0.18,0.09,0.13,28%,15%,4/26,25,157,171,42,21,31
837,karie NOOT,,253,0.89,201.8,0.96,70%,136.8,0.71,0.14,0.08,0.08,22%,6%,3/49,24,179,187,36,19,21
838,Artill,(+1),236,0.89,189.8,0.92,67%,122.9,0.68,0.33,0.06,0.08,23%,12%,2/17,25,160,174,77,14,19
839,wink ASTR,,203,0.89,199.4,0.86,67%,132.8,0.69,0.22,0.13,0.2,22%,14%,3/22,23,141,164,45,27,41
840,Kenji Ston,(+1),205,0.89,204.0,0.87,66%,141.7,0.68,0.25,0.09,0.12,24%,6%,2/31,25,140,161,52,18,24
841,Bully eM,,201,0.89,193.2,0.88,65%,130.5,0.66,0.17,0.05,0.1,26%,13%,4/31,20,133,151,35,11,21
842,Reality,(+1),359,0.89,194.9,0.91,63%,134.4,0.67,0.17,0.08,0.14,25%,15%,5/34,26,240,263,61,30,50
843,Ellie TSM.X,,381,0.89,190.2,0.85,69%,127.2,0.64,0.38,0.06,0.1,27%,14%,5/35,21,243,287,146,24,40
844,Mazin FUR,(+2),231,0.89,176.5,0.85,71%,115.9,0.6,0.4,0.07,0.08,28%,19%,5/27,26,138,163,93,16,19
845,monSi SILK,(+2),362,0.89,159.7,0.77,74%,104.6,0.52,0.46,0.04,0.09,23%,15%,6/40,18,189,247,166,16,33
846,Lomein Full,(+1),213,0.89,163.6,0.78,70%,110.2,0.58,0.52,0.03,0.05,19%,19%,6/31,26,123,157,111,7,10
847,clawdia COL,(+2),565,0.89,180.5,0.89,69%,120.9,0.61,0.17,0.06,0.1,23%,11%,8/76,19,347,392,94,35,55
848,Ponder PFlu,,364,0.89,178.6,0.89,70%,119.0,0.64,0.24,0.07,0.07,29%,23%,8/35,21,234,263,87,24,25
849,Maddie FaZe,,373,0.89,186.2,0.85,76%,122.1,0.66,0.34,0.06,0.08,27%,9%,3/35,24,245,288,128,22,30
850,di^ FaZe,(+1),373,0.89,168.9,0.8,75%,108.6,0.59,0.45,0.05,0.08,23%,17%,6/35,21,221,275,169,20,30
851,lyNxi RBLS,(+3),326,0.89,163.8,0.83,70%,105.6,0.59,0.34,0.05,0.06,22%,8%,5/59,21,191,231,111,16,19
852,Stix ANM,(+2),330,0.89,170.7,0.84,67%,113.7,0.59,0.28,0.06,0.08,29%,11%,7/63,20,196,232,94,20,28
853,fl1pzjder RRQ,(+1),227,0.89,171.3,0.76,70%,108.5,0.56,0.52,0.08,0.11,25%,8%,2/26,19,127,167,117,19,24
854,lukxo,,270,0.89,181.9,0.82,70%,126.7,0.62,0.31,0.09,0.12,28%,18%,5/28,25,168,205,85,25,32
855,Lmemore RRQ,(+1),227,0.89,200.8,0.91,68%,135.9,0.69,0.19,0.14,0.12,34%,,0/21,24,156,171,44,32,27
856,dazzLe TTR,(+1),233,0.89,171.3,0.8,70%,107.2,0.58,0.42,0.08,0.1,21%,9%,2/23,21,135,169,98,18,24
857,luiza BD.FE,,298,0.88,175.9,0.94,70%,120.2,0.64,0.16,0.07,0.08,28%,14%,6/42,25,190,203,49,22,25
858,marin CGZ,,227,0.88,169.5,0.85,69%,117.4,0.58,0.21,0.08,0.11,19%,7%,2/30,21,131,154,48,18,24
859,Limpe RIZO,,318,0.88,203.4,0.93,67%,135.3,0.72,0.14,0.22,0.2,21%,15%,3/20,22,230,246,43,70,63
860,JaebiN ONS,,342,0.88,207.8,0.87,66%,131.6,0.7,0.2,0.17,0.17,17%,17%,4/23,28,239,275,70,59,59
861,Cud BME,,256,0.88,176.7,0.88,70%,115.8,0.64,0.22,0.08,0.11,25%,10%,3/31,18,163,185,56,21,27
862,jayp SG,,270,0.88,185.6,0.84,63%,124.2,0.63,0.18,0.06,0.06,23%,7%,3/41,20,170,202,48,16,17
863,maitee 47,(+1),322,0.88,164.3,0.79,73%,108.4,0.55,0.31,0.05,0.03,26%,23%,9/39,21,177,225,99,16,10
864,bmblbe cala,,216,0.88,182.0,0.9,66%,128.2,0.64,0.17,0.07,0.06,22%,9%,3/32,24,139,154,36,15,14
865,dzii T30,,242,0.88,208.3,0.88,67%,134.9,0.72,0.18,0.13,0.17,22%,19%,4/21,25,175,199,44,31,41
866,rdo,(+2),309,0.88,176.2,0.77,68%,115.2,0.58,0.38,0.08,0.11,19%,10%,4/39,23,180,235,116,25,34
867,Akashi 3T,,338,0.88,186.6,0.81,72%,125.3,0.61,0.36,0.06,0.07,22%,10%,4/42,22,206,254,122,20,23
868,Slandy MSF,(+2),352,0.88,177.9,0.8,68%,117.4,0.61,0.42,0.08,0.09,22%,10%,3/29,28,214,266,147,29,31
869,MaFiN,(+2),293,0.88,162.4,0.78,69%,112.0,0.57,0.43,0.03,0.06,24%,15%,6/41,26,167,215,127,10,18
870,eli ZMM.B,(+5),587,0.88,167.3,0.83,68%,116.4,0.59,0.29,0.07,0.09,30%,21%,13/63,20,348,417,170,39,55
871,kxtieoh MSF,,338,0.88,174.8,0.82,72%,115.4,0.59,0.33,0.05,0.06,24%,14%,7/49,21,201,246,113,18,21
872,subbey MAS,,222,0.88,169.1,0.81,69%,113.4,0.59,0.36,0.06,0.05,24%,9%,3/35,19,132,162,79,13,11
873,Mikelelle EYG,(+1),589,0.88,157.1,0.75,71%,103.0,0.55,0.45,0.07,0.1,27%,16%,9/58,25,322,427,264,42,59
874,miniature MAD.SC,(+3),205,0.88,199.6,0.91,68%,138.2,0.72,0.3,0.13,0.14,30%,24%,5/21,27,148,163,61,27,28
875,kuroza LCR,(+3),255,0.88,177.5,0.84,70%,121.1,0.61,0.32,0.05,0.07,30%,8%,4/53,17,155,184,81,14,17
876,DEPEX,,390,0.88,189.8,0.92,65%,124.4,0.69,0.11,0.12,0.13,25%,4%,2/45,24,271,294,41,48,51
877,adm1k B8,(+3),265,0.88,190.3,0.81,65%,127.5,0.63,0.27,0.06,0.09,24%,13%,4/31,21,166,204,72,15,25
878,hussaR GN,(+2),267,0.88,176.3,0.87,71%,115.6,0.64,0.34,0.07,0.07,24%,10%,4/39,26,170,196,91,19,19
879,brax,(+2),236,0.88,172.4,0.82,65%,121.6,0.59,0.25,0.08,0.08,22%,11%,4/36,21,139,170,58,19,19
880,Town Blinn,(+1),327,0.88,168.5,0.79,69%,112.4,0.58,0.39,0.08,0.13,28%,10%,3/29,28,190,240,128,25,43
881,sonder SR.GC,,262,0.87,226.5,0.92,65%,148.8,0.75,0.19,0.19,0.24,20%,,0/12,28,196,213,51,51,62
882,rezy ANKAA,,271,0.87,159.4,0.78,71%,108.4,0.54,0.38,0.04,0.1,24%,19%,5/26,22,146,187,102,12,26
883,Klaus KRÜ,(+1),241,0.87,173.7,0.82,73%,106.2,0.61,0.44,0.05,0.09,18%,,0/21,22,147,179,105,13,21
884,Subiboo LEV.GC,,235,0.87,192.3,0.85,66%,120.9,0.66,0.11,0.08,0.08,24%,14%,5/36,18,155,182,27,18,18
885,Erumaa BIGG,,252,0.87,184.9,0.85,65%,131.5,0.62,0.22,0.1,0.11,19%,6%,3/49,26,155,183,55,25,28
886,Death01 DRG,(+1),458,0.87,170.3,0.75,67%,111.4,0.57,0.49,0.07,0.12,24%,27%,7/26,26,263,351,223,32,54
887,K1te TYL,(+2),252,0.87,197.8,0.91,66%,133.2,0.67,0.26,0.06,0.1,25%,9%,3/34,22,169,186,66,14,24
888,yyAmroll,(+1),248,0.87,208.4,0.87,70%,139.9,0.69,0.27,0.16,0.15,17%,,0/23,27,170,195,67,40,37
889,AYRIN GES,,285,0.87,176.8,0.85,64%,114.5,0.59,0.19,0.07,0.08,22%,12%,5/41,16,168,198,55,19,22
890,RoLEX XIA,,287,0.87,195.0,0.91,70%,134.6,0.67,0.2,0.11,0.13,24%,21%,8/38,32,192,211,58,33,37
891,ALMO TBD,,238,0.87,184.7,0.84,65%,130.9,0.63,0.18,0.07,0.13,24%,25%,6/24,26,149,177,43,17,32
892,shiba T30,,242,0.87,175.9,0.8,62%,120.2,0.6,0.31,0.07,0.13,29%,14%,5/36,23,144,181,75,17,31
893,arato WU,(+3),289,0.86,175.3,0.81,65%,117.3,0.6,0.29,0.06,0.11,21%,24%,9/38,27,172,212,84,17,31
894,sturNN FB,(+1),231,0.86,176.4,0.78,71%,114.7,0.6,0.24,0.06,0.02,23%,10%,4/39,20,139,179,56,14,5
895,Leon AEX,(+3),240,0.86,190.0,0.87,67%,120.4,0.64,0.19,0.13,0.16,20%,13%,3/24,17,154,177,45,30,38
896,Techno TRS,(+3),253,0.86,178.6,0.86,65%,118.3,0.63,0.25,0.06,0.08,26%,14%,5/36,23,160,186,62,15,19
897,jEEE NAOS,,221,0.86,183.9,0.83,69%,122.7,0.63,0.36,0.08,0.07,31%,7%,2/29,27,139,168,79,18,16
898,cheatcode QoR,,222,0.86,168.3,0.7,70%,112.8,0.54,0.5,0.08,0.08,24%,25%,4/16,18,119,169,110,17,18
899,ikke RN,(+1),201,0.86,177.9,0.81,70%,126.2,0.62,0.25,0.09,0.08,21%,10%,2/21,27,125,155,51,19,16
900,sword9 KONE,,451,0.86,154.5,0.8,67%,101.6,0.54,0.31,0.04,0.08,22%,16%,10/63,22,245,306,138,20,37
901,Hermes MARU,(+6),256,0.86,170.3,0.78,68%,115.0,0.57,0.34,0.06,0.11,20%,9%,2/23,19,145,186,87,16,28
902,Antunes,(+1),261,0.86,171.8,0.78,67%,112.9,0.58,0.34,0.07,0.11,24%,10%,3/29,20,152,194,88,17,30
903,Chainyyy SPE,,506,0.86,172.6,0.8,64%,115.8,0.58,0.18,0.07,0.12,18%,16%,11/67,19,294,366,93,37,60
904,jeed MAS,,222,0.86,174.1,0.82,72%,114.0,0.63,0.41,0.04,0.06,33%,9%,3/34,19,139,170,92,8,13
905,luk TBK,(+1),238,0.86,161.0,0.79,71%,108.5,0.56,0.4,0.05,0.08,20%,14%,4/28,21,133,168,96,11,18
906,Braso HMB,,320,0.86,191.6,0.87,68%,129.5,0.68,0.19,0.06,0.12,23%,16%,7/44,30,216,248,60,20,37
907,nataNk M8,(+1),269,0.86,178.1,0.81,68%,117.3,0.62,0.38,0.1,0.15,18%,7%,1/15,23,167,205,101,28,41
908,Tak1 Rise,,309,0.86,186.6,0.84,70%,127.6,0.63,0.4,0.07,0.09,21%,7%,2/28,33,194,231,123,22,28
909,RedKoh X10,(+1),244,0.86,149.0,0.8,72%,96.0,0.56,0.28,0.03,0.08,22%,30%,9/30,19,136,169,69,8,20
910,darkosek inco,(+4),396,0.86,174.1,0.76,72%,115.5,0.58,0.37,0.09,0.11,25%,13%,4/32,23,231,305,147,37,43
911,rhyme GIA,,201,0.86,151.3,0.77,69%,101.8,0.55,0.25,0.05,0.09,34%,11%,2/18,22,110,143,51,10,18
912,Potatoe MAD.SC,(+4),205,0.85,185.8,0.84,71%,119.1,0.67,0.29,0.09,0.11,14%,14%,3/22,22,137,164,60,19,23
913,Kuro 3E,(+1),459,0.85,153.3,0.71,67%,100.0,0.51,0.34,0.06,0.06,23%,12%,6/51,16,233,326,155,27,27
914,trayz RIZO,(+2),266,0.85,180.8,0.88,68%,126.1,0.66,0.16,0.1,0.11,22%,,0/27,24,175,198,42,27,30
915,Nanners ZMM.B,,232,0.85,173.9,0.79,64%,112.6,0.58,0.25,0.11,0.11,18%,12%,5/42,22,134,169,58,26,25
916,VIZSLA,,221,0.85,190.0,0.81,65%,131.4,0.63,0.1,0.1,0.12,27%,12%,5/41,18,140,172,22,22,27
917,Spocki Bloo,(+2),377,0.85,174.5,0.76,66%,115.4,0.58,0.34,0.04,0.07,32%,23%,9/39,20,220,289,129,16,28
918,MirzAA WH,(+1),225,0.85,167.3,0.78,68%,112.1,0.57,0.22,0.06,0.11,25%,10%,3/30,18,129,166,50,14,24
919,TenZ SEN,,220,0.85,179.6,0.91,64%,123.0,0.65,0.18,0.12,0.22,20%,23%,5/22,25,142,156,40,26,49
920,ZYND ZOL,(+1),215,0.85,196.9,0.91,61%,133.7,0.72,0.12,0.16,0.19,23%,14%,4/29,30,155,170,26,35,40
921,Princessicy,(+3),334,0.85,165.4,0.83,65%,112.2,0.59,0.19,0.07,0.14,33%,20%,6/30,28,198,240,64,25,48
922,supamen FaZe,(+1),291,0.84,168.3,0.76,70%,111.9,0.56,0.41,0.04,0.12,29%,27%,8/30,27,164,215,119,12,36
923,P1ERCEE,(+2),320,0.84,163.9,0.8,69%,109.6,0.59,0.38,0.04,0.08,27%,7%,3/42,24,190,237,123,14,26
924,Peekaboo CHK,(+1),219,0.84,151.6,0.67,69%,107.8,0.49,0.45,0.03,0.05,22%,11%,3/28,28,107,159,98,7,11
925,athxna MxM.R,(+2),551,0.84,156.8,0.78,68%,103.4,0.57,0.37,0.06,0.09,29%,7%,4/57,24,313,403,203,35,49
926,FraqqS DIVI,,265,0.84,178.2,0.79,63%,126.1,0.63,0.19,0.08,0.06,24%,11%,6/54,31,166,209,51,20,16
927,hyp3r UAESA.G,,224,0.84,182.2,0.85,67%,121.0,0.66,0.29,0.05,0.12,30%,17%,3/18,24,148,174,66,11,26
928,Aryu TRS,(+3),324,0.84,162.1,0.78,65%,111.1,0.56,0.33,0.04,0.08,25%,13%,7/52,22,183,234,107,13,25
929,natz HDE,(+5),419,0.84,195.6,0.87,68%,128.9,0.67,0.29,0.09,0.12,27%,9%,4/46,21,279,321,121,37,51
930,clear DSG,(+2),303,0.84,175.6,0.84,62%,114.6,0.64,0.17,0.12,0.17,36%,23%,8/35,23,193,230,53,35,50
931,Kaizen TRS,,253,0.84,203.7,0.87,62%,139.8,0.71,0.17,0.2,0.26,29%,7%,1/14,22,179,205,43,50,65
932,Cantzer EE,,293,0.84,155.4,0.72,72%,107.6,0.52,0.34,0.04,0.07,23%,8%,5/61,19,152,212,99,12,20
933,Blahst ZMM.B,,232,0.83,178.5,0.85,66%,114.2,0.66,0.15,0.15,0.17,25%,12%,2/17,24,154,181,34,34,40
934,k1zpawn GTZ,(+2),266,0.83,146.0,0.77,65%,98.5,0.53,0.29,0.01,0.08,25%,19%,8/42,19,140,181,76,3,21
935,Eisberg RRQ.K,,315,0.83,164.0,0.74,71%,113.5,0.53,0.34,0.06,0.09,19%,19%,5/27,17,166,224,108,19,28
936,kael MAS,(+3),204,0.83,174.7,0.75,67%,111.6,0.6,0.42,0.1,0.12,29%,24%,5/21,18,122,162,86,20,25
937,SoloMabuchi UNT,,324,0.83,199.8,0.86,69%,128.0,0.69,0.16,0.23,0.23,25%,18%,2/11,23,224,261,52,74,74
938,Furzaan FIU,(+1),424,0.83,160.1,0.84,68%,107.9,0.6,0.33,0.06,0.12,26%,9%,3/33,34,254,301,142,26,50
939,Kakujaaa HEIZ,(+1),259,0.83,163.8,0.76,64%,113.5,0.56,0.3,0.08,0.1,22%,3%,1/37,18,146,191,78,20,26
940,EMUHLEET EG.GC,,328,0.83,143.1,0.67,70%,94.7,0.47,0.59,0.04,0.07,21%,11%,5/47,21,153,229,192,12,23
941,Ale MOUZ,(+1),326,0.83,183.5,0.83,63%,120.5,0.64,0.19,0.16,0.2,24%,17%,3/18,24,210,252,63,53,64
942,neiixZz ZINK,(+1),204,0.83,219.0,0.86,57%,137.5,0.74,0.17,0.16,0.21,39%,6%,1/16,27,151,175,35,32,43
943,soulcas TL,(+1),209,0.82,145.4,0.67,71%,89.6,0.47,0.42,0.07,0.09,31%,16%,3/19,15,99,147,88,14,19
944,HyDrO AT,(+3),293,0.82,165.9,0.82,65%,103.8,0.59,0.22,0.09,0.15,18%,10%,3/29,19,172,211,63,25,45
945,Miracle Unde,,236,0.82,155.6,0.75,65%,99.9,0.53,0.23,0.06,0.07,28%,5%,2/43,17,126,168,55,14,17
946,Kai,(+2),232,0.82,165.7,0.76,66%,113.6,0.58,0.19,0.06,0.07,25%,18%,7/38,17,134,177,44,15,17
947,miku LEV.GC,(+1),282,0.82,229.2,0.78,63%,153.5,0.71,0.27,0.21,0.25,16%,11%,2/18,24,200,255,77,60,70
948,LiNLiN LEV.GC,(+1),235,0.82,172.4,0.79,64%,113.5,0.62,0.31,0.06,0.06,31%,13%,4/31,25,145,184,74,15,14
949,let LOUD,,313,0.82,192.9,0.84,62%,127.0,0.67,0.15,0.15,0.23,24%,10%,2/20,23,210,249,46,48,73
950,pleets VKS,(+4),495,0.82,151.5,0.7,68%,97.7,0.51,0.42,0.07,0.12,14%,34%,15/44,26,250,356,207,33,61
951,Tsuya YFP,,243,0.82,192.7,0.82,64%,121.2,0.66,0.16,0.16,0.23,20%,19%,3/16,21,161,197,38,39,56
952,xZe XIA,(+1),287,0.82,197.5,0.84,67%,134.2,0.69,0.17,0.12,0.15,38%,18%,4/22,22,199,238,49,34,44
953,Tommy,(+1),204,0.82,174.8,0.77,69%,118.6,0.57,0.25,0.03,0.07,27%,5%,1/22,18,116,150,52,6,15
954,benaf T30,(+2),242,0.82,153.7,0.71,64%,105.5,0.53,0.41,0.03,0.08,25%,18%,6/34,21,129,182,99,7,19
955,BennY CGN,(+1),324,0.82,167.5,0.74,68%,110.6,0.56,0.27,0.1,0.17,29%,18%,5/28,22,182,245,88,31,56
956,Prof Taip,,261,0.81,157.8,0.71,66%,108.6,0.54,0.47,0.06,0.08,26%,18%,6/33,20,140,197,122,15,22
957,FrizzNatsz,(+4),271,0.81,174.7,0.81,66%,118.7,0.62,0.21,0.12,0.15,28%,13%,4/31,26,167,206,58,32,41
958,randyySAVAGE OXG,,418,0.81,162.4,0.76,65%,112.2,0.56,0.16,0.06,0.11,25%,8%,3/38,22,233,306,67,27,47
959,FrostyZ MAS,(+1),222,0.8,192.1,0.82,68%,127.1,0.66,0.2,0.16,0.2,24%,,0/15,27,147,179,44,36,44
960,marche BIGG,(+1),236,0.8,146.6,0.68,68%,98.6,0.49,0.39,0.07,0.06,21%,13%,3/23,17,115,170,93,17,14
961,LBY XIA,(+2),287,0.8,155.1,0.78,68%,105.5,0.56,0.34,0.06,0.08,27%,16%,5/32,23,162,208,98,17,22
962,ray4c TA,,364,0.8,196.5,0.77,65%,124.8,0.63,0.25,0.13,0.22,10%,22%,6/27,23,231,299,90,47,81
963,hunterr,,261,0.8,154.3,0.74,64%,102.6,0.54,0.18,0.03,0.07,22%,23%,9/40,18,141,191,47,7,17
964,Myssen TOP,,223,0.8,157.6,0.75,66%,104.1,0.52,0.25,0.05,0.12,26%,11%,3/27,24,117,156,55,12,27
965,starriebun XSET,(+4),257,0.8,159.5,0.72,65%,110.0,0.53,0.3,0.03,0.11,23%,7%,3/42,16,136,188,77,8,29
966,fra ODK,(+3),231,0.8,140.3,0.65,65%,99.9,0.46,0.4,0.07,0.08,23%,17%,4/24,25,106,162,92,16,19
967,OLIZERA GTZ,(+2),266,0.79,184.6,0.76,62%,126.1,0.61,0.19,0.11,0.18,23%,19%,5/26,20,162,212,51,28,49
968,Genghsta DSG,(+2),303,0.79,165.7,0.73,66%,111.3,0.55,0.29,0.06,0.07,22%,6%,2/36,21,167,230,87,19,21
969,nat1 MIBR.F,(+1),244,0.78,156.6,0.72,65%,103.3,0.54,0.38,0.09,0.12,21%,7%,2/29,16,132,183,92,23,29
